Time, Value, Peak Time, Peak Data, SDNN Time, SDNN Data, RMSSD Time, RMSSD Data, LF/HF Ratio Time, LF/HF Ratio Data, LF_Power, HF_Power, PPI
0:0:59:203, 2134, 0:0:59:203, 0, 0:0:59:203, 0, 0:0:59:203, 0, 0:0:59:203, 0, 0, 0, 0
0:0:59:203, 2132, 0:0:59:203, 0, 0:0:59:203, 0, 0:0:59:203, 0, 0:0:59:203, 0, 0, 0, 0
0:0:59:204, 2128, 0:0:59:204, 0, 0:0:59:204, 0, 0:0:59:204, 0, 0:0:59:204, 0, 0, 0, 0
0:0:59:204, 2124, 0:0:59:204, 0, 0:0:59:204, 0, 0:0:59:204, 0, 0:0:59:204, 0, 0, 0, 0
0:0:59:204, 2120, 0:0:59:204, 0, 0:0:59:204, 0, 0:0:59:204, 0, 0:0:59:204, 0, 0, 0, 0
0:0:59:206, 2114, 0:0:59:206, 0, 0:0:59:206, 0, 0:0:59:206, 0, 0:0:59:206, 0, 0, 0, 0
0:0:59:209, 2105, 0:0:59:209, 0, 0:0:59:209, 0, 0:0:59:209, 0, 0:0:59:209, 0, 0, 0, 0
0:0:59:209, 2097, 0:0:59:209, 0, 0:0:59:209, 0, 0:0:59:209, 0, 0:0:59:209, 0, 0, 0, 0
0:0:59:209, 2090, 0:0:59:209, 0, 0:0:59:209, 0, 0:0:59:209, 0, 0:0:59:209, 0, 0, 0, 0
0:0:59:243, 2082, 0:0:59:243, 0, 0:0:59:243, 0, 0:0:59:243, 0, 0:0:59:243, 0, 0, 0, 0
0:0:59:244, 2072, 0:0:59:244, 0, 0:0:59:244, 0, 0:0:59:244, 0, 0:0:59:244, 0, 0, 0, 0
0:0:59:244, 2062, 0:0:59:244, 0, 0:0:59:244, 0, 0:0:59:244, 0, 0:0:59:244, 0, 0, 0, 0
0:0:59:245, 2053, 0:0:59:245, 0, 0:0:59:245, 0, 0:0:59:245, 0, 0:0:59:245, 0, 0, 0, 0
0:0:59:245, 2044, 0:0:59:245, 0, 0:0:59:245, 0, 0:0:59:245, 0, 0:0:59:245, 0, 0, 0, 0
0:0:59:246, 2034, 0:0:59:246, 0, 0:0:59:246, 0, 0:0:59:246, 0, 0:0:59:246, 0, 0, 0, 0
0:0:59:246, 2024, 0:0:59:246, 0, 0:0:59:246, 0, 0:0:59:246, 0, 0:0:59:246, 0, 0, 0, 0
0:0:59:246, 2014, 0:0:59:246, 0, 0:0:59:246, 0, 0:0:59:246, 0, 0:0:59:246, 0, 0, 0, 0
0:0:59:247, 2007, 0:0:59:247, 0, 0:0:59:247, 0, 0:0:59:247, 0, 0:0:59:247, 0, 0, 0, 0
0:0:59:247, 1998, 0:0:59:247, 0, 0:0:59:247, 0, 0:0:59:247, 0, 0:0:59:247, 0, 0, 0, 0
0:0:59:274, 1989, 0:0:59:274, 0, 0:0:59:274, 0, 0:0:59:274, 0, 0:0:59:274, 0, 0, 0, 0
0:0:59:274, 1980, 0:0:59:274, 0, 0:0:59:274, 0, 0:0:59:274, 0, 0:0:59:274, 0, 0, 0, 0
0:0:59:704, 1974, 0:0:59:704, 0, 0:0:59:704, 46.4112314916075, 0:0:59:704, 40.3058690140938, 0:0:59:704, 824.936060677388, 473.85093305356, 1.74091893279895, 0
0:0:59:710, 1967, 0:0:59:710, 0, 0:0:59:710, 0, 0:0:59:710, 0, 0:0:59:710, 0, 0, 0, 0
0:0:59:718, 1958, 0:0:59:718, 0, 0:0:59:718, 0, 0:0:59:718, 0, 0:0:59:718, 0, 0, 0, 0
0:0:59:719, 1948, 0:0:59:719, 0, 0:0:59:719, 0, 0:0:59:719, 0, 0:0:59:719, 0, 0, 0, 0
0:0:59:719, 1941, 0:0:59:719, 0, 0:0:59:719, 0, 0:0:59:719, 0, 0:0:59:719, 0, 0, 0, 0
0:0:59:719, 1934, 0:0:59:719, 0, 0:0:59:719, 0, 0:0:59:719, 0, 0:0:59:719, 0, 0, 0, 0
0:0:59:719, 1924, 0:0:59:719, 0, 0:0:59:719, 0, 0:0:59:719, 0, 0:0:59:719, 0, 0, 0, 0
0:0:59:721, 1913, 0:0:59:721, 0, 0:0:59:721, 0, 0:0:59:721, 0, 0:0:59:721, 0, 0, 0, 0
0:0:59:721, 1904, 0:0:59:721, 0, 0:0:59:721, 0, 0:0:59:721, 0, 0:0:59:721, 0, 0, 0, 0
0:0:59:722, 1896, 0:0:59:722, 0, 0:0:59:722, 0, 0:0:59:722, 0, 0:0:59:722, 0, 0, 0, 0
0:0:59:722, 1887, 0:0:59:722, 0, 0:0:59:722, 0, 0:0:59:722, 0, 0:0:59:722, 0, 0, 0, 0
0:0:59:723, 1877, 0:0:59:723, 0, 0:0:59:723, 0, 0:0:59:723, 0, 0:0:59:723, 0, 0, 0, 0
0:0:59:723, 1868, 0:0:59:723, 0, 0:0:59:723, 0, 0:0:59:723, 0, 0:0:59:723, 0, 0, 0, 0
