sep=,
HRV ANALYSIS RESULTS - 30-Jan-2024 15:48:51
Kubios HRV Scientific
4.0.3
released in June 2023

Analyzed by:  -  - 

File name: C:\Users\Miran-Laptop\Documents\GitHub\AutoKelvin_VR\Assets\ppgDATA\2024.01.30\Threshold_1.csv
Measurement date:  
File type: asciiCUSTOMPPG
Channel label: EKG
Data length: 00:10:06 (h:min:s)
Measurement rate: 255 Hz

Parameters
 Number of samples: 10
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 Use Lomb-Scargle periodogram instead of FFT: 0
 Lomb smoothing window: 0.02 Hz
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats
 RPA and D2, embedding dimension: 10
 RPA, threshold: 3.1623 x SD
 Time-varying options
  Window width: 300 s
  Grid interval: 60 s
  Spectrum estimation method: Spectrogram

Performed Analysis
 Standard analysis: Yes
 Time-varying analysis: Yes

RR Interval Samples Selected for Analysis
                              ,    Sample 1,    Sample 2,    Sample 3,    Sample 4,    Sample 5,    Sample 6,    Sample 7,    Sample 8,    Sample 9,   Sample 10,
  Sample limits (hh:mm:ss):   ,00:00:00-00:01:00,00:01:01-00:02:01,00:02:02-00:03:02,00:03:03-00:04:03,00:04:04-00:05:04,00:05:05-00:06:05,00:06:06-00:07:06,00:07:07-00:08:07,00:08:08-00:09:08,00:09:06-00:10:06,
  Sample Analysis Type: Single samples
  Beat correction: Automatic correction
  Beats total:                ,          85,          86,          87,          90,          92,          91,          93,          89,          88,          92,
  Beats corrected:            ,           0,           0,           0,           0,           2,           0,           0,           0,           2,           1,
  Beats corrected (%):        ,           0,           0,           0,           0,        2.17,           0,           0,           0,        2.27,        1.09,
  Effective data length (s):  ,          60,          60,          60,          60,          60,          60,          60,          60,          60,          60,
  Effective data length (%):  ,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,


RESULTS FOR SINGLE SAMPLES
STANDARD RESULTS
                              ,    SAMPLE 1,            ,    SAMPLE 2,            ,    SAMPLE 3,            ,    SAMPLE 4,            ,    SAMPLE 5,            ,    SAMPLE 6,            ,    SAMPLE 7,            ,    SAMPLE 8,            ,    SAMPLE 9,            ,   SAMPLE 10,            ,
  Mean line length (beats):   ,      6.8911,            ,      6.3824,            ,      5.9010,            ,      5.9558,            ,      9.6778,            ,      9.3269,            ,     14.6747,            ,      7.1863,            ,      6.9256,            ,      8.1301,            ,
  Max line length (beats):    ,          44,            ,          54,            ,          53,            ,          80,            ,          82,            ,          81,            ,          83,            ,          79,            ,          54,            ,          82,            ,
  Recurrence rate (REC) (%):  ,     25.0000,            ,     22.5333,            ,     20.5786,            ,     21.4601,            ,     25.6060,            ,     29.3575,            ,     34.8073,            ,     23.3750,            ,     27.4956,            ,     29.5834,            ,
  Determinism (DET) (%):      ,     96.3989,            ,     97.4551,            ,     95.2077,            ,     95.5966,            ,     98.7528,            ,     98.2776,            ,     99.1857,            ,     97.9947,            ,     97.6690,            ,     98.1354,            ,
  Shannon entropy:            ,      2.5513,            ,      2.3672,            ,      2.2917,            ,      2.2666,            ,      2.7638,            ,      2.7822,            ,      3.2007,            ,      2.5021,            ,      2.4517,            ,      2.6914,            ,
 Multiscale entropy (MSE for scales 1-20),
  MSE(1):                     ,      2.3556,            ,      2.2099,            ,      1.8092,            ,      2.0693,            ,      1.0765,            ,      1.3276,            ,      0.9791,            ,      1.6354,            ,      1.3073,            ,      1.3760,            ,
  MSE(2):                     ,         NaN,            ,      2.3497,            ,      1.8977,            ,      2.5931,            ,      2.0951,            ,      0.9349,            ,      1.2078,            ,      2.1502,            ,      1.8247,            ,      2.1523,            ,
  MSE(3):                     ,      1.1773,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,      1.3161,            ,      1.8781,            ,         NaN,            ,         NaN,            ,         NaN,            ,
  MSE(4):                     ,         NaN,            ,         NaN,            ,         NaN,            ,      1.5119,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,      1.1597,            ,
  MSE(5):                     ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,      0.5719,            ,         NaN,            ,         NaN,            ,      0.2764,            ,         NaN,            ,
  MSE(6):                     ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,      0.5331,            ,         NaN,            ,         NaN,            ,
  MSE(7):                     ,         NaN,            ,         NaN,            ,      0.5025,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,      1.4188,            ,         NaN,            ,
  MSE(8):                     ,      0.1699,            ,         NaN,            ,      0.4576,            ,         NaN,            ,      0.4824,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,
